Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	
Comments:	
Date:	7/1/20 5:31 AM
Duration:	00:26:17'67
Activities:	Other
Max HR:	104
Average HR:	79
Calories:	93
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1593595997987	2020-07-01 05:33:17.987	00:02:03	74	OK
1593595998973	2020-07-01 05:33:18.973	00:02:04	74	OK
1593595999465	2020-07-01 05:33:19.465	00:02:05	74	OK
1593596000224	2020-07-01 05:33:20.224	00:02:05	74	OK
1593596001188	2020-07-01 05:33:21.188	00:02:06	74	OK
1593596001928	2020-07-01 05:33:21.928	00:02:07	75	OK
1593596002666	2020-07-01 05:33:22.666	00:02:08	75	OK
1593596003404	2020-07-01 05:33:23.404	00:02:09	75	OK
1593596004145	2020-07-01 05:33:24.145	00:02:09	75	OK
1593596005128	2020-07-01 05:33:25.128	00:02:10	75	OK
1593596005869	2020-07-01 05:33:25.869	00:02:11	75	OK
1593596006599	2020-07-01 05:33:26.599	00:02:12	75	OK
1593596007349	2020-07-01 05:33:27.349	00:02:13	75	OK
1593596008336	2020-07-01 05:33:28.336	00:02:14	75	OK
1593596009070	2020-07-01 05:33:29.070	00:02:14	74	OK
1593596009809	2020-07-01 05:33:29.809	00:02:15	74	OK
1593596010801	2020-07-01 05:33:30.801	00:02:16	75	OK
1593596011532	2020-07-01 05:33:31.532	00:02:17	75	OK
1593596012516	2020-07-01 05:33:32.516	00:02:18	75	OK
1593596013255	2020-07-01 05:33:33.255	00:02:19	73	OK
1593596013994	2020-07-01 05:33:33.994	00:02:19	73	OK
1593596014735	2020-07-01 05:33:34.735	00:02:20	74	OK
1593596015714	2020-07-01 05:33:35.714	00:02:21	74	OK
1593596016460	2020-07-01 05:33:36.460	00:02:22	74	OK
1593596017196	2020-07-01 05:33:37.196	00:02:23	75	OK
1593596018182	2020-07-01 05:33:38.182	00:02:24	74	OK
1593596018919	2020-07-01 05:33:38.919	00:02:24	74	OK
1593596019660	2020-07-01 05:33:39.660	00:02:25	73	OK
